,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXAFEGSMTHx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,DTCOLNVHFNM,DTCTHFNM,INVEST,VIXCLSx
Transform:,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5.0,5,5,5,5,5,5,5.0,5.0,5,5,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,1.0
2026-01-01 00:00:00,20343.522301746365,16603.33939698284,125.12389449561978,1539187.7707838155,727452.7176822777,101.87661755716029,97.93775833677138,98.03553092509908,97.8769808472504,91.84270723089227,98.97013215833353,94.5839985059303,106.1054202128057,96.82446023889595,97.0577383428581,96.93699600819629,106.91859420526937,85.61213568994405,75.07343907117861,6797.665792906072,0.8486716044781407,171003.7747608974,163271.22608944567,4.050497723246714,23.044030445438153,2011.6572691308559,1835.6066440365566,2852.17621824654,1017.1091649466252,1725.1825842048997,185324.7504887053,159233.4522942341,21489.70014945252,554.988965092002,8200.94602744297,12619.412122752008,7790.945981313356,4818.298822156794,137679.1372520811,28900.30586107724,6147.62008603065,15481.952888574404,9234.36471337602,23327.868513485093,39.272346031803025,3.4979562238219843,39.63041282032245,1164.2526490462126,96.50245275914462,163.9238108507071,477.777608588529,241.44411300168656,1040.8980716354092,107.2907304567374,169.89432667513634,348.15494446128486,245.2612671614343,,306706.4513683673,96049.79346067096,1506199.059070609,2689601.204818588,1.352968808111681,17473.997936694373,22367.117750772195,6833.724549678775,5259.983587344062,2721.1176627467657,-1576.7839984941843,2684.657548287308,5718.094886992778,3734356.262754176,140.18946037084658,6517.265961800656,0.9651646063550705,27.87282016201104,3.060238807442524,3.1813565637556405,3.158367539598146,3.176087718401077,3.157446619108611,3.2856513824885374,3.792432693109171,5.00022894150969,5.590849675199349,-0.5171808788365497,-1.4078209085623148,-1.454248109708711,-0.9758305090190574,-1.1424133371418022,-0.9699171019126857,-0.538606434993859,0.2909287597177623,,0.7660223016540542,149.92421019683394,1.2932492810410803,1.3497509590501622,263.8550150060722,278.3636722879618,260.18470320965133,241.9545139859808,48.54680561392349,449.3168331151917,326.2844322033663,132.24332678709555,271.1655241973779,587.484704572409,226.8546051983938,122.72774430130232,423.15368824975303,322.93464252675443,292.39391384662787,313.5140498010951,128.4553310396776,106.30143747045452,121.12999566170522,134.40008677593877,32.93527605124497,37.71483680926249,29.298166751424915,,512981.1059906329,899435.6004513365,5490.453596840647,8.824129315112488
